ID_author;sent_neg;sent_neu;sent_pos;sent_compound
473;273;63;97;-9951
474;1,78E+16;657;165;-269
475;197;7,51E+15;5,20E+16;-9214
476;185;711;104;-9732
477;139;7,76E+15;85;-9459
478;261;667;7,20E+15;-9315
479;116;722;162;9252
480;81;794;125;9513
481;196;7,07E+15;97;-9616
482;203;741;55;-996
483;107;8,19E+15;7,40E+15;-3899
484;24;727;249;9386
487;134;8,14E+15;5,20E+16;-9827
488;1,48E+16;75;102;-892
489;25;75;0;-853
490;97;7,12E+15;191;9895
491;165;7,17E+15;119;-875
492;78;797;125;5927
493;0;831;1,69E+16;9758
494;292;688;2;-9654
495;132;7,93E+15;75;-7803
496;58;8;142;9275
497;109;7,49E+15;142;5376
498;122;752;126;-1857
499;51;8,03E+15;146;9071
500;98;841;61;-7924
501;115;69;195;9724
502;67;858;75;6865
503;134;7,81E+15;85;-8446
504;65;8,54E+15;8,20E+15;3999
505;142;8,01E+15;57;-9657
506;192;695;113;-9851
507;23;7,09E+15;61;-985
508;84;816;1;-1362
509;7;879;51;-2263
510;1,37E+16;78;83;-968
511;111;743;146;8994
512;53;86;87;7968
513;706;294;0;-802
516;0;917;83;4857
517;1;742;159;8955
518;0;642;358;9081
519;59;8,03E+15;1,37E+16;9388
520;168;743;8,80E+15;-7713
521;62;7,02E+15;236;7351
522;217;7,83E+15;0;-9758
523;138;792;69;-9335
524;5,40E+16;8,81E+15;66;4836
525;187;746;67;-9875
526;197;742;61;-9782
527;31;705;264;9661
528;0;926;7,40E+15;5803
529;204;662;134;-9777
530;168;6,56E+15;1,76E+16;399
531;9;84;7;-5069
532;107;742;151;9623
533;23;823;154;8712
536;8,90E+15;911;0;-5007
537;76;868;56;-504
538;108;851;42;-9247
539;2;8,06E+15;174;9712
540;146;72;134;-5118
541;92;735;173;9276
542;57;872;71;2506
543;7;8,39E+15;9;4439
544;174;7,49E+15;76;-7136
545;278;627;95;-8705
546;5,40E+16;815;131;9642
547;5,20E+16;865;83;9524
548;212;764;24;-9454
549;223;5,54E+15;224;-2402
550;129;7,14E+15;157;4245
551;181;8,19E+15;0;-8943
552;1,76E+16;726;98;-9632
553;267;705;28;-976
554;119;7,91E+15;9;-2023
555;196;7,24E+15;79;-9923
556;43;89;67;3149
557;5,40E+16;818;128;8485
558;2;6,83E+15;118;-9776
559;231;721;48;-904
560;45;893;62;-1027
561;102;809;8,90E+15;1086
562;92;7,07E+15;202;9783
563;69;79;141;373
564;75;797;128;8074
565;212;718;69;-9849
566;254;6,73E+15;73;-9062
567;12;7,96E+15;84;-9273
568;152;7,81E+15;67;-9886
569;125;75;126;2817
570;92;8,39E+15;69;-952
571;1,76E+16;78;44;-765
572;0;812;188;9081
573;109;7,88E+15;103;-5859
574;192;723;85;-8658
575;275;64;86;-9824
576;147;703;15;7765
577;24;897;79;743
578;114;733;153;967
579;113;84;47;-897
582;0;892;108;7235
583;1;8,59E+15;41;-9581
584;122;802;76;-9746
585;126;768;106;-5678
586;2;8,54E+15;126;9
587;8,20E+15;8,19E+15;99;1298
588;91;557;3,52E+16;8831
589;0;10;0;0
592;123;73;147;7982
593;1,67E+16;7,07E+15;126;-9766
594;165;76;75;-9867
595;84;6,97E+15;219;9023
596;149;762;8,90E+15;-8522
599;4;8,69E+15;9;9163
